index,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,Jeff Taylor,,1982.0,44.0,17.6,3.6,1.5,3.6,40.0,0.0,0.0,0,0.7,1.0,65.2,0.6,1.2,1.8,2.5,0.9,0.3,1.4,5.2
1,Charles Smith,,1988.0,71.0,30.4,16.3,6.1,12.4,49.5,0.0,0.0,0,4.0,5.5,72.5,2.4,4.1,6.5,1.5,1.0,1.3,2.1,16.7
2,Mark Davis,,1988.0,33.0,7.8,3.8,1.5,3.1,48.0,0.0,0.3,10,0.8,1.0,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,3.8
3,Charles Smith,,1989.0,60.0,8.7,2.9,1.0,2.2,44.4,0.0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,4.1
4,Michael Smith,,1989.0,65.0,9.5,5.0,2.1,4.4,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1.5,1.2,0.1,0.0,0.8,4.6
5,Dee Brown,,1990.0,82.0,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,10.4
6,Michael Smith,,1994.0,82.0,21.2,6.9,2.7,5.0,54.2,0.0,0.0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,9.8
7,Mark Davis,,1995.0,57.0,10.0,3.3,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,2.2,0.8,0.7,0.4,1.2,3.8
8,Charles Smith,,1997.0,34.0,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,2.3
9,Dee Brown,,2006.0,49.0,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,2.8
10,Jeff Taylor,,2012.0,77.0,19.6,6.1,2.2,5.2,43.1,0.7,2.0,34.4,1.0,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8
11,Andrew Toney,,1980.0,75.0,23.6,12.9,5.3,10.7,49.5,0.1,0.4,31,2.1,3.0,71.2,0.4,1.5,1.9,3.6,0.8,0.1,2.9,10.2
12,Bill Hanzlik,,1980.0,74.0,17.0,5.4,1.9,3.9,47.8,0.0,0.1,20,1.6,2.0,79.3,0.9,1.2,2.1,1.5,0.8,0.3,1.1,6.4
13,Bill Laimbeer,,1980.0,81.0,30.4,9.8,4.2,8.3,50.3,0.0,0.0,0,1.4,1.9,76.5,3.3,5.3,8.6,2.7,0.7,1.0,1.6,16.5
14,Billy Reid,,1980.0,59.0,10.1,3.2,1.4,3.1,45.4,0.0,0.1,0,0.4,0.7,56.4,0.5,0.6,1.0,1.2,0.6,0.1,1.3,2.8
15,Butch Carter,,1980.0,54.0,12.4,5.6,2.1,4.6,46.2,0.1,0.2,30,1.3,1.8,73.7,0.6,0.6,1.2,1.0,0.4,0.0,0.9,4.3
16,Calvin Garrett,,1980.0,70.0,23.4,6.1,2.7,5.9,45.3,0.0,0.0,33.3,0.7,0.9,80.6,1.2,2.6,3.8,1.9,0.7,0.1,1.3,7.9
17,Cedrick Hordges,,1980.0,68.0,23.5,8.4,3.3,7.1,46.0,0.0,0.0,0,1.9,2.7,69.9,1.8,5.0,6.7,1.5,0.5,0.3,1.8,11.0
18,Charles Whitney,,1980.0,47.0,16.6,7.4,3.2,6.5,48.7,0.0,0.1,33.3,1.1,1.4,76.9,0.6,1.6,2.3,1.4,1.0,0.1,1.0,7.6
19,Craig Shelton,,1980.0,55.0,10.7,4.3,1.8,4.0,45.7,0.0,0.0,0,0.6,1.1,60.3,1.1,1.4,2.5,0.5,0.3,0.1,1.1,4.0
20,Darrell Griffith,,1980.0,81.0,35.4,20.6,8.8,19.1,46.4,0.1,0.6,19.2,2.8,4.0,71.6,1.0,2.6,3.6,2.4,1.3,0.5,2.9,14.2
21,Darwin Cook,,1980.0,81.0,24.4,11.2,4.7,10.1,46.8,0.1,0.3,24,1.6,2.2,73.3,1.2,1.7,2.9,3.7,1.7,0.4,2.2,11.8
22,Dewayne Scales,,1980.0,44.0,11.0,4.9,2.1,5.1,41.8,0.0,0.1,16.7,0.6,0.9,66.7,1.1,1.9,3.0,0.2,0.3,0.1,0.7,4.5
23,Don Collins,,1980.0,81.0,22.8,11.5,4.4,10.0,44.4,0.0,0.1,0,2.6,3.4,77.6,1.6,1.7,3.3,2.3,1.3,0.3,2.1,10.3
24,Earl Cureton,,1980.0,52.0,10.2,4.2,1.8,3.9,45.4,0.0,0.0,0,0.6,1.2,51.6,1.0,2.0,3.0,0.5,0.4,0.4,0.6,5.2
25,Edgar Jones,,1980.0,60.0,15.8,8.7,3.2,6.0,52.9,0.0,0.1,0,2.4,3.6,67.0,1.5,2.9,4.4,0.7,0.6,1.4,1.7,10.1
26,James Donaldson,,1980.0,68.0,14.4,5.3,1.9,3.5,54.2,0.0,0.0,0,1.5,2.5,59.4,1.6,3.0,4.5,0.6,0.1,1.1,1.0,8.0
27,James Wilkes,,1980.0,48.0,11.3,4.1,1.8,3.8,46.2,0.0,0.0,0,0.6,0.9,69.0,0.8,1.3,2.0,0.6,0.5,0.3,0.7,4.5
28,Jeff Wilkins,,1980.0,56.0,18.9,4.7,2.1,4.6,45.0,0.0,0.0,-,0.5,0.7,67.5,1.1,3.8,4.9,0.7,0.6,0.8,1.1,7.8
29,Jerry Sichting,,1980.0,47.0,9.6,2.0,0.7,2.0,35.8,0.0,0.1,0,0.5,0.7,78.1,0.2,0.7,0.9,1.5,0.5,0.0,0.6,2.9
30,Joe Barry Carroll,,1980.0,82.0,35.6,18.9,7.5,15.3,49.1,0.0,0.0,0,3.8,5.4,71.6,3.3,5.9,9.3,1.4,0.6,1.5,3.0,19.4
31,John Duren,,1980.0,40.0,11.5,1.8,0.8,2.5,32.7,0.0,0.0,0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,1.8
32,Johnny Moore,,1980.0,82.0,19.2,7.4,3.0,6.3,47.9,0.0,0.2,5.3,1.3,2.1,61.0,0.7,1.7,2.4,4.5,1.5,0.3,1.9,10.0
33,Kelvin Ransey,,1980.0,80.0,30.4,15.2,6.6,14.5,45.2,0.0,0.4,9.7,2.1,2.7,74.9,0.5,1.9,2.4,6.9,1.1,0.1,2.9,14.3
34,Kevin McHale,1999.0,1980.0,82.0,20.1,10.0,4.3,8.1,53.3,0.0,0.0,0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,11.4
35,Kiki Vandeweghe,,1980.0,51.0,27.0,11.5,4.5,10.5,42.6,0.0,0.1,0,2.5,3.1,81.8,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.4
